review_id,customer_id,product_id,rating,review_text,sentiment
1,900,855,3,Ask management more know middle ability letter account.,Neutral
2,255,358,4,Break environmental little show note doctor who morning few hospital.,Neutral
3,514,608,5,Simple yes develop success edge production hour agency style green film my painting.,Negative
4,707,941,2,Fish hotel pretty design fear interview perhaps voice face three we agreement particularly apply.,Positive
5,242,370,2,Develop may similar travel score each job by contain but center.,Positive
6,149,227,2,Identify increase lead turn parent executive statement character check how.,Positive
7,710,705,1,Product financial whom their personal situation body good bad until.,Neutral
8,299,303,5,Writer perform discuss office agent should skill wish policy shoulder expect wrong either hard whole.,Positive
9,757,826,2,Different between green middle concern after even energy role instead site.,Negative
10,850,389,5,Those say herself reach member tree we.,Negative
11,620,377,2,Product next product day house break approach home rich sense always entire another.,Positive
12,453,973,3,Bad space media likely whether until bill first somebody computer material.,Neutral
13,393,118,5,From less health plant stop benefit baby theory.,Negative
14,212,5,4,Would put popular build day of stay tax stay training same.,Negative
15,668,444,1,Mind country seven stop design us spend resource boy anything room top usually might.,Neutral
16,538,352,4,Or he picture audience floor instead program wrong writer.,Negative
17,594,755,5,Tough activity give TV score window coach painting training quickly campaign grow before year pull.,Neutral
18,595,533,2,Control situation mouth argue child themselves it six away almost owner decade similar hope record.,Negative
19,131,664,5,Firm wrong section pass manage clear worry guy paper hit represent.,Neutral
20,329,640,1,Ahead business note attack bit experience society vote.,Negative
21,612,124,5,Close air issue box half start at federal find require customer stock carry treatment.,Positive
22,256,658,2,To something environmental necessary professional grow office former major approach fly onto sister.,Negative
23,479,277,4,Across check history make wish about concern exist or fear scene.,Negative
24,561,822,3,Few during season modern present either game expert beyond clearly.,Positive
25,913,394,4,Game spend theory one allow media usually chair thank best range order.,Positive
26,63,664,2,Someone eight sit address care wonder now night you once environmental western.,Positive
27,311,360,2,Daughter decide beat toward hope part effect its across single first boy machine try family.,Positive
28,407,623,1,Tonight section poor center brother parent can.,Neutral
29,802,469,5,Tough least assume fly indeed stock industry leader special.,Neutral
30,105,985,5,Conference five occur believe ten heart hospital central help turn player drop tend center.,Negative
31,617,628,4,Read Mr have field eye better and edge upon economy.,Negative
32,837,700,3,Real difference late because manage put next this plant provide.,Negative
33,15,57,3,Believe kitchen trial second stock organization type window.,Neutral
34,687,251,1,Figure any of all point already recognize three race impact.,Negative
35,259,896,2,School long article job teacher bar alone end early beat can cold task.,Negative
36,723,919,1,Main hand form tell expect your economy begin continue reflect.,Neutral
37,412,150,5,Herself another network buy movie start cut trade rise type here loss travel worker.,Negative
38,259,452,2,Exactly according machine time expect rate fill if Republican upon no.,Neutral
39,614,162,1,Single story leg visit deal though believe task east avoid.,Neutral
40,260,120,4,Ahead level plant toward statement street card suffer education strong Democrat memory show senior economic energy.,Positive
